OBJECTID,ROUTE_NUMBER,ROUTE_NAME,DIRECTION,ROUTE_ORIENTATION,ROUTE_DESCRIPTION,NUM_MILES,WEEKDAY_BASE_FREQUENCY,WEEKDAY_PEAK_FREQUENCY,WEEKDAY_NIGHT_FREQUENCY,SATURDAY_BASE_FREQUENCY,SATURDAY_NIGHT_FREQUENCY,SUNDAY_BASE_FREQUENCY,SUNDAY_NIGHT_FREQUENCY,WEEKDAY_SERVICE,SATURDAY_SERVICE,SUNDAY_SERVICE,OPERATION_DAYS,IS_LOCAL_SERVICE,Shape__Length
1,47,Tireman,Eastbound,East - West,Westside route serving Tireman and MLK Blvd,11.8457374536,60,60,0,0,0,0,0,5:10a to 7:35p,No Service,No Service,Monday - Friday,true,0.219561243424811
2,47,Tireman,Westbound,East - West,Westside route serving Tireman and MLK Blvd,11.6730128004,60,60,0,0,0,0,0,5:10a to 7:35p,No Service,No Service,Monday - Friday,true,0.216818108706132
3,1,Vernor,Westbound,East - West,"Connects Detroit & Dearborn between downtown and Schaefer & Michigan. The main streets served are Layfayette, Trumbull, Bagley, Vernor, Wyoming & Michigan.",8.54084818248,30,30,60,30,60,60,60,4:00a - 1:00a,4:00a - 12:53a,4:07a - 12:39a,Monday - Sunday,true,0.15195740764776
4,1,Vernor,Eastbound,East - West,"Connects Detroit & Dearborn between downtown and Schaefer & Michigan. The main streets served are Layfayette, Trumbull, Bagley, Vernor, Wyoming & Michigan.",8.56984979411,30,30,60,30,60,60,60,4:00a - 1:00a,4:00a - 12:53a,4:07a - 12:39a,Monday - Sunday,true,0.15249693991921
5,2,Michigan,Westbound,East - West,Westside route that connects Detroit from Downtown Rosa Parks Transit Center to Fairlane Mall. The main street used is Michigan.,10.5971859465,30,30,45,60,60,60,60,4:00a - 12:22a,4:00a - 12:22a,4:21a - 12:50a,Monday - Sunday,true,0.20049029215227
6,2,Michigan,Eastbound,East - West,Westside route that connects Detroit from Downtown Rosa Parks Transit Center to Fairlane Mall. The main street used is Michigan.,10.5341798448,30,30,45,60,60,60,60,4:00a - 12:22a,4:00a - 12:22a,4:21a - 12:50a,Monday - Sunday,true,0.199017393537911
7,3,Grand River,Southbound,East - West,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from downtown to 7 Mile & Grand River. The main street served is Grand River.,14.6322469785,20,25,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.269291988535838
8,3,Grand River,Northbound,East - West,Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Detroit from downtown to 7 Mile & Grand River. The main street served is Grand River.,14.8796851103,20,25,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.273628722007345
9,4,Woodward,Southbound,North - South,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit and Highland Park between State Fairgrounds Transit Center and Renaissance Center in Downtown Detroit. The main streets served are Woodward, Park, Washington Blvd and Larned.",8.84764000849,20,15,60,20,60,20,60,24hr,24hr,24hr,Monday - Sunday,true,0.158775175447574
10,4,Woodward,Northbound,North - South,"Frequent 24/7 service as part of the ConnectTen network. Connects Detroit and Highland Park between State Fairgrounds Transit Center and Renaissance Center in Downtown Detroit. The main streets served are Woodward, Park, Washington Blvd and Larned.",8.83627320518,20,15,60,20,60,20,60,24hr,24hr,24hr,Monday - Sunday,true,0.145401982331331
11,5,Van Dyke-Lafayette,Southbound,North - South,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit form Bel Air Center to Downtown Rosa Parks Transit Center. The main streets served are Van Dyke and E Lafayette.,11.4307622449,30,30,60,30,60,60,60,24hr,24hr,24hr,Monday - Sunday,true,0.185909616824008
12,5,Van Dyke-Lafayette,Northbound,North - South,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit form Bel Air Center to Downtown Rosa Parks Transit Center. The main streets served are Van Dyke and E Lafayette.,11.2554843821,30,30,60,30,60,60,60,24hr,24hr,24hr,Monday - Sunday,true,0.181736231440863
13,6,Gratiot,Eastbound,North - South,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit from 3rd & Michigan to Gratiot & 8 Mile. The main street served is Gratiot.,10.4433583395,20,20,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.166355591831085
14,6,Gratiot,Westbound,North - South,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit from 3rd & Michigan to Gratiot & 8 Mile. The main street served is Gratiot.,10.6272429818,20,20,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.168918124009227
15,7,Seven Mile,Eastbound,East - West,"Frequent 24/7 service as part of the ConnectTen network. Crosstown route that connects Redford and Detroit between Meijer Old Redford and St John Hospital. Main streets served are Grand River, Lasher, 7 mile, Cadieux, Morang and Moross.",19.9714234898,20,20,60,45,60,60,60,24hr,24hr,24hr,Monday - Sunday,true,0.379261421693347
16,7,Seven Mile,Westbound,East - West,"Frequent 24/7 service as part of the ConnectTen network. Crosstown route that connects Redford and Detroit between Meijer Old Redford and St John Hospital. Main streets served are Grand River, Lasher, 7 mile, Cadieux, Morang and Moross.",19.8717622583,20,20,60,45,60,60,60,24hr,24hr,24hr,Monday - Sunday,true,0.377139266622167
17,8,Warren,Eastbound,East - West,"Frequent 24/7 service as part of the ConnectTen network. Crosstown route that connects Detroit from Mack & Moross to Warren & Telegraph. The main street served is Warren Ave. In addition to Detroit, this route also serves Dearborn.",20.2978181627,30,30,60,45,60,60,60,24hr,24hr,24hr,Monday - Sunday,true,0.384603347281962
18,8,Warren,Westbound,East - West,"Frequent 24/7 service as part of the ConnectTen network. Crosstown route that connects Detroit from Mack & Moross to Warren & Telegraph. The main street served is Warren Ave. In addition to Detroit, this route also serves Dearborn.",20.0627247786,30,30,60,45,60,60,60,24hr,24hr,24hr,Monday - Sunday,true,0.380803872511569
19,9,Jefferson,Eastbound,East - West,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit from Downtown Rosa Parks Transit Center to Grosse Pointe Park. The main street used is Jefferson.,7.60289814644,30,15,60,25,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.136936843342548
20,9,Jefferson,Westbound,East - West,Frequent 24/7 service as part of the ConnectTen network. Eastside route that connects Detroit from Downtown Rosa Parks Transit Center to Grosse Pointe Park. The main street used is Jefferson.,7.28623256325,30,15,60,25,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.131503487210469
21,10,Greenfield,Southbound,North - South,"Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Southfield, Detroit and Dearborn between Providence Hospital and Fairlane Town Center. The main street served in Greenfield.",13.3796433178,20,20,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.207784698418332
22,10,Greenfield,Northbound,North - South,"Frequent 24/7 service as part of the ConnectTen network. Westside route that connects Southfield, Detroit and Dearborn between Providence Hospital and Fairlane Town Center. The main street served in Greenfield.",12.7424502138,20,20,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.196089040028527
23,12,Conant,Southbound,North - South,"An east side route that connects Detroit from Belle Isle to Fairgrounds. The main streets served are Conant Street, Mt Elliot, E Grand Blvd and State Fair. In addition to Detroit, this route also serves Hamtramck.",12.1784641444,60,60,0,60,0,60,0,6:30a - 9:08p,7:30a - 8:08p,8:00a - 6:38p,Monday - Sunday,true,0.210885094993146
24,12,Conant,Northbound,North - South,"An east side route that connects Detroit from Belle Isle to Fairgrounds. The main streets served are Conant Street, Mt Elliot, E Grand Blvd and State Fair. In addition to Detroit, this route also serves Hamtramck.",11.6616018396,60,60,0,60,0,60,0,6:30a - 9:08p,7:30a - 8:08p,8:00a - 6:38p,Monday - Sunday,true,0.203837586322449
25,13,Conner,Northbound,North - South,An east Side route that connects Detroit from Conner & Jefferson to Bel-Air Center. The main streets served are Conner St and Hoover St.,8.21413041058,60,60,0,60,0,60,0,5:45a - 8:26p,5:45a - 8:11p,6:45a - 7:14p,Monday - Sunday,true,0.136499475199244
26,13,Conner,Southbound,North - South,An east Side route that connects Detroit from Conner & Jefferson to Bel-Air Center. The main streets served are Conner St and Hoover St.,7.91825239856,60,60,0,60,0,60,0,5:45a - 8:26p,5:45a - 8:11p,6:45a - 7:14p,Monday - Sunday,true,0.130790280400089
27,15,Chicago-Davison,Eastbound,East - West,"A crosstown route that connects Detroit from Rouge Park to Woodward & Manchester. The main streets served are Chicago and Davison. In addition to Detroit, this route also serves Highland Park.",13.0781198779,60,60,0,60,0,60,0,5:55a - 9:51p,7:00a - 8:39p,7:00a - 7:40p,Monday - Sunday,true,0.235878558044685
28,15,Chicago-Davison,Westbound,East - West,"A crosstown route that connects Detroit from Rouge Park to Woodward & Manchester. The main streets served are Chicago and Davison. In addition to Detroit, this route also serves Highland Park.",12.7354463705,60,60,0,60,0,60,0,5:55a - 9:51p,7:00a - 8:39p,7:00a - 7:40p,Monday - Sunday,true,0.230546771926344
29,16,Dexter,Northbound,North - South,"Connects Detroit from Downtown to Providence Hospital (JL Hudson & Greenfield). The main streets served are W Outer Drive, Cass, Dexter, W Grand Blvd and Greenfield. In addition to Detroit, this route also serves Southfield.",18.9252779745,20,20,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.321210535138406
30,16,Dexter,Southbound,North - South,"Connects Detroit from Downtown to Providence Hospital (JL Hudson & Greenfield). The main streets served are W Outer Drive, Cass, Dexter, W Grand Blvd and Greenfield. In addition to Detroit, this route also serves Southfield.",18.7381903432,20,20,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.318085733609201
31,17,Eight Mile,Westbound,East - West,A crosstown route that connects Detroit from Mack & Moross to 7 Mile & Grand River. The main street served is 8 Mile.,24.3230734961,30,20,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.457916683176232
32,17,Eight Mile,Eastbound,East - West,A crosstown route that connects Detroit from Mack & Moross to 7 Mile & Grand River. The main street served is 8 Mile.,23.977994812,30,20,60,30,60,30,60,24hr,24hr,24hr,Monday - Sunday,true,0.456184985756786
33,18,Fenkell,Eastbound,East - West,"A west side route that connects Detroit from Downtown Rosa Parks Transit Center to Fenkell & Telegraph. The main streets served are Fenkell, 14th (NB) and 12th (SB).",15.0543742491,45,45,60,45,60,60,0,5:10a - 10:52p,6:00a - 10:52p,8:03a - 8:50p,Monday - Sunday,true,0.271196427051671
34,18,Fenkell,Westbound,East - West,"A west side route that connects Detroit from Downtown Rosa Parks Transit Center to Fenkell & Telegraph. The main streets served are Fenkell, 14th (NB) and 12th (SB).",15.2797206141,45,45,60,45,60,60,0,5:10a - 10:52p,6:00a - 10:52p,8:03a - 8:50p,Monday - Sunday,true,0.274164352254709
35,19,Fort,Eastbound,East - West,A southwest route that connects Detroit from Downtown Rosa Parks Transit Center to W Outer Dr & Fort. The main street served is Fort.,8.29782361765,60,60,65,60,65,60,60,5:00a - 12:31a,5:00a - 12:31a,5:00a - 11:25a,Monday - Sunday,true,0.145985043586372
36,19,Fort,Westbound,East - West,A southwest route that connects Detroit from Downtown Rosa Parks Transit Center to W Outer Dr & Fort. The main street served is Fort.,8.50166043322,60,60,65,60,65,60,60,5:00a - 12:31a,5:00a - 12:31a,5:00a - 11:25a,Monday - Sunday,true,0.149389362315687
37,27,Joy,Eastbound,East - West,"A west side route that connects Detroit from Telegraph & W Chicago (Redford Plaza) to Downtown Rosa Parks Transit Center. The main streets served are Joy Rd, W Lafayette and W Grand Blvd.",15.7345279945,60,60,60,60,60,60,0,6:05a - 10:52p,7:00a - 10:57p,7:00a - 7:31p,Monday - Sunday,true,0.282678439288981
